"","event","start_year","end_year","disease","deaths_low_estimate","global_population","low_global_death_percent"
"226","Seventh cholera pandemic",1961,1975,"Cholera (El Tor strain)",NA,3083966929,NA
"227","Mumps outbreaks in the 2000s",2009,2009,"Mumps",NA,6788214394,NA
"228","2009 swine flu pandemic",2009,2010,"Influenza A virus subtype H1N1",NA,6788214394,NA
"229","2017 dengue outbreak in Peshawar",2017,2017,"Dengue fever",69,NA,NA
"230","2017 Gorakhpur Japanese encephalitis outbreak",2017,2017,"Japanese encephalitis",1317,NA,NA
"231","2017 dengue outbreak in Sri Lanka",2017,2017,"Dengue fever",440,NA,NA
"232","2017–18 United States flu season",2017,2018,"Seasonal influenza",61000,NA,NA
"233","2018 Nipah virus outbreak in Kerala",2018,2018,"Nipah virus infection",17,NA,NA
"234","Kivu Ebola epidemic",2018,2020,"Ebola",2280,NA,NA
"235","2018 NDM-CRE outbreak in Italy",2018,NA,"New Delhi metallo-beta-lactamase-producing Carbapenem-resistant enterobacteriaceae",31,NA,NA
"236","2019 measles outbreak in the Democratic Republic of the Congo",2019,2020,"Measles",7018,NA,NA
"237","2019–2020 New Zealand measles outbreak",2019,2020,"Measles",2,NA,NA
"238","2019 Philippines measles outbreak",2019,2019,"Measles",415,NA,NA
"239","2019 Kuala Koh measles outbreak",2019,2019,"Measles",15,NA,NA
"240","2019 Samoa measles outbreak",2019,NA,"Measles",83,NA,NA
"241","2019–20 dengue fever epidemic",2019,NA,"Dengue fever",3930,NA,NA
"242","COVID-19 pandemic",2019,NA,"Coronavirus disease 2019 / COVID-19",2600000,NA,NA
"243","2019 Nigeria lassa fever epidemic",2019,NA,"Lassa fever",246,NA,NA
"244","2020 Democratic Republic of the Congo Ebola outbreak",2020,2020,"Ebola",55,NA,NA
"245","2020 novel bunyavirus outbreak",2020,NA,"Severe fever with thrombocytopenia syndrome",7,NA,NA
"246","2020 Nigeria yellow fever epidemic",2020,NA,"Yellow Fever",296,NA,NA
